Title,Downtown Barrie Terminal to Johnson at Napier,Downtown Barrie Terminal to Johnson at Napier,Downtown Barrie Terminal to Johnson at Napier,Downtown Barrie Terminal to Johnson at Napier,Downtown Barrie Terminal to Johnson at Napier,Downtown Barrie Terminal to Johnson at Napier,Downtown Barrie Terminal to Johnson at Napier,Downtown Barrie Terminal to Johnson at Napier,Downtown Barrie Terminal to Johnson at Napier,Downtown Barrie Terminal to Johnson at Napier,Downtown Barrie Terminal to Johnson at Napier,Downtown Barrie Terminal to Johnson at Napier,Downtown Barrie Terminal to Johnson at Napier,Downtown Barrie Terminal to Johnson at Napier,Downtown Barrie Terminal to Johnson at Napier,Downtown Barrie Terminal to Johnson at Napier,Downtown Barrie Terminal to Johnson at Napier,Downtown Barrie Terminal to Johnson at Napier,Downtown Barrie Terminal to Johnson at Napier,Downtown Barrie Terminal to Johnson at Napier,Downtown Barrie Terminal to Johnson at Napier,Downtown Barrie Terminal to Johnson at Napier,Downtown Barrie Terminal to Johnson at Napier,Downtown Barrie Terminal to Johnson at Napier,Downtown Barrie Terminal to Johnson at Napier,Downtown Barrie Terminal to Johnson at Napier,Downtown Barrie Terminal to Johnson at Napier,Downtown Barrie Terminal to Johnson at Napier,Downtown Barrie Terminal to Johnson at Napier,Downtown Barrie Terminal to Johnson at Napier
101 CCW Observed Runtime-25%,6.44,7.27,7.08,6.65,7.07,7.09,6.32,6.49,8.3,7.09,7.11,7.02,7.19,7.16,7.64,7.36,7.62,6.81,6.9,7.4,7.1,7.43,6.81,7.16,7.26,6.85,6.83,6.75,7.45,6.57
101 CCW Observed Runtime-50%,6.81,7.97,7.66,6.92,7.13,7.38,6.78,6.95,8.46,7.63,7.44,7.35,7.59,7.59,7.68,7.93,7.9,7.03,7.31,7.96,7.62,7.51,7.05,7.38,7.77,7.42,7.34,6.95,8.07,6.85
101 CCW Observed Runtime-80%,7.2,8.5,8.01,7.49,7.65,8.17,7.51,7.75,8.6,8.06,7.88,8,8.45,8.15,7.96,8.49,8.38,8.17,8.12,8.87,8.61,8.27,7.68,8.9,8.77,8.17,8.41,9.4,8.65,7.24
101 CCW Observed Runtime-90%,7.29,9.96,8.51,8.09,7.92,8.27,7.95,7.76,8.6,8.79,9.43,8.18,9.17,8.2,7.96,9.64,8.87,8.4,8.63,10.79,9.85,9.07,8.91,8.93,9.17,8.17,8.42,9.4,8.66,7.27
101 CCW Scheduled Runtime-10%,7,7,7,7,7,7,7,8,8,8,8,8,8,8,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8
101 CCW Scheduled Runtime-50%,7,7,7,7,7,7,7,8,8,8,8,8,8,8,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8
101 CCW Scheduled Runtime-90%,7,7,7,7,7,7,7,8,8,8,8,8,8,8,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8
Title,RVH Atrium Entrance to Georgian College,RVH Atrium Entrance to Georgian College,RVH Atrium Entrance to Georgian College,RVH Atrium Entrance to Georgian College,RVH Atrium Entrance to Georgian College,RVH Atrium Entrance to Georgian College,RVH Atrium Entrance to Georgian College,RVH Atrium Entrance to Georgian College,RVH Atrium Entrance to Georgian College,RVH Atrium Entrance to Georgian College,RVH Atrium Entrance to Georgian College,RVH Atrium Entrance to Georgian College,RVH Atrium Entrance to Georgian College,RVH Atrium Entrance to Georgian College,RVH Atrium Entrance to Georgian College,RVH Atrium Entrance to Georgian College,RVH Atrium Entrance to Georgian College,RVH Atrium Entrance to Georgian College,RVH Atrium Entrance to Georgian College,RVH Atrium Entrance to Georgian College,RVH Atrium Entrance to Georgian College,RVH Atrium Entrance to Georgian College,RVH Atrium Entrance to Georgian College,RVH Atrium Entrance to Georgian College,RVH Atrium Entrance to Georgian College,RVH Atrium Entrance to Georgian College,RVH Atrium Entrance to Georgian College,RVH Atrium Entrance to Georgian College,RVH Atrium Entrance to Georgian College,RVH Atrium Entrance to Georgian College
Half-Hour,07:00 - 07:29,07:30 - 07:59,08:00 - 08:29,08:30 - 08:59,09:00 - 09:29,09:30 - 09:59,10:00 - 10:29,10:30 - 10:59,11:00 - 11:29,11:30 - 11:59,12:00 - 12:29,12:30 - 12:59,13:00 - 13:29,13:30 - 13:59,14:00 - 14:29,14:30 - 14:59,15:00 - 15:29,15:30 - 15:59,16:00 - 16:29,16:30 - 16:59,17:00 - 17:29,17:30 - 17:59,18:00 - 18:29,18:30 - 18:59,19:00 - 19:29,19:30 - 19:59,20:00 - 20:29,20:30 - 20:59,21:00 - 21:29,22:00 - 22:29
101 CCW Observed Runtime-25%,1.63,1.58,1.5,1.82,1.63,1.75,1.63,1.48,1.43,1.44,1.22,1.75,1.73,1.67,1.45,1.43,1.47,1.52,1.84,1.4,1.35,1.64,1.6,1.45,1.48,1.97,1.79,1.97,1.14,1.69
101 CCW Observed Runtime-50%,1.83,1.9,1.9,1.9,1.77,2.12,1.81,2.13,1.51,1.78,1.67,1.82,1.82,1.78,1.57,1.75,1.78,1.95,1.97,1.63,1.88,1.81,1.8,1.77,1.81,2.15,1.97,1.98,1.87,1.83
